Locus	CUI
b1648	0.0194
b1649	0.0230
b1650	0.0237
b1651	0.0254
b1652	0.0230
b1653	0.0218
b1654	0.0258
b1655	0.0214
b1656	0.0232
b1657	0.0224
b4602	0.0209
b1658	0.0241
b1659	0.0211
b1660	0.0228
b1661	0.0223
b1662	0.0231
b1663	0.0235
b1664	0.0221
b1667	0.0209
b1668	0.0208
b1669	0.0205
b1670	0.0206
b1671	0.0195
b1672	0.0214
b1673	0.0217
b1674	0.0203
b1675	0.0239
b1676	0.0248
b1677	0.0240
b1678	0.0201
b1679	0.0232
b1680	0.0227
b1681	0.0233
b1682	0.0225
b1683	0.0220
b1684	0.0225
b1685	0.0222
b1686	0.0211
b1687	0.0226
b1688	0.0232
b1689	0.0204
b1690	0.0205
b1691	0.0215
b1692	0.0226
b1693	0.0237
b1694	0.0229
b1695	0.0242
b1696	0.0205
b1697	0.0238
b1698	0.0237
b1699	0.0231
b1700	0.0216
b1701	0.0219
b1702	0.0238
b1703	0.0221
b1704	0.0221
b1705	0.0221
b1706	0.0217
b1707	0.0193
b1708	0.0202
b1709	0.0221
b1710	0.0235
b1711	0.0215
b1712	0.0227
b1713	0.0249
b1714	0.0243
b1715	0.0187
b1716	0.0230
b1717	0.0248
b1718	0.0231
b1719	0.0228
b4535	0.0215
b1722	0.0204
b1723	0.0224
b1724	0.0204
b1725	0.0214
b1726	0.0218
b1727	0.0219
b1728	0.0204
b1729	0.0246
b1730	0.0183
b1731	0.0223
b1732	0.0224
b1733	0.0220
b1734	0.0235
b1735	0.0215
b1736	0.0262
b1737	0.0229
b1738	0.0236
b1739	0.0223
b1740	0.0236
b1741	0.0215
b1742	0.0223
b1743	0.0254
b1744	0.0219
b1745	0.0226
b1746	0.0225
b1747	0.0227
b1748	0.0235
b1749	0.0241
b1750	0.0216
b1751	0.0228
b1752	0.0221
b1753	0.0227
b1754	0.0223
b1755	0.0233
b1756	0.0211
b1757	0.0227
b1758	0.0224
b1759	0.0227
b1760	0.0196
b1761	0.0233
b1762	0.0190
b1763	0.0231
b1764	0.0241
b1765	0.0223
b1766	0.0233
b1767	0.0229
b1768	0.0213
b1769	0.0197
b1770	0.0212
b1771	0.0218
b1772	0.0223
b1773	0.0222
b1774	0.0226
b1775	0.0211
b1776	0.0223
b1777	0.0229
b1778	0.0208
b1779	0.0234
b1780	0.0233
b1781	0.0212
b1782	0.0224
b1783	0.0223
b1784	0.0229
b1785	0.0209
b1786	0.0213
b1787	0.0220
b1788	0.0209
b1789	0.0232
b1790	0.0199
b1791	0.0206
b1792	0.0240
b1793	0.0214
b1794	0.0225
b4676	0.0204
b4675	0.0227
b1795	0.0228
b1796	0.0223
b1797	0.0201
b1798	0.0222
b1799	0.0228
b1800	0.0217
b1801	0.0223
b1802	0.0230
b1803	0.0214
b1804	0.0237
b1805	0.0234
b1806	0.0217
b1807	0.0231
b1808	0.0226
b1809	0.0235
b1810	0.0220
b1811	0.0233
b1812	0.0225
b1813	0.0218
b1814	0.0236
b1815	0.0219
b1816	0.0246
b1817	0.0236
b1818	0.0240
b1819	0.0238
b1820	0.0219
b1821	0.0231
b1822	0.0213
b1823	0.0222
b1824	0.0197
b1825	0.0225
b1826	0.0208
b4536	0.0189
b1827	0.0230
b1828	0.0216
b1829	0.0241
b1830	0.0234
b1831	0.0226
b1832	0.0216
b1833	0.0213
b1834	0.0233
b1835	0.0218
b1836	0.0209
b1837	0.0216
b1838	0.0211
b1839	0.0227
b1840	0.0220
b1841	0.0201
b1842	0.0231
b1843	0.0204
b1844	0.0222
b1845	0.0219
b1846	0.0244
b1847	0.0214
b1848	0.0241
b1849	0.0221
b1850	0.0255
b1851	0.0228
b1852	0.0243
b1853	0.0221
b1854	0.0239
b1855	0.0227
b1856	0.0230
b1857	0.0205
b1858	0.0216
b1859	0.0233
b1860	0.0241
b1861	0.0241
b4677	0.0168
b1862	0.0196
b1863	0.0241
b1864	0.0250
b1865	0.0212
b1866	0.0252
b1867	0.0220
b1868	0.0204
b1869	0.0234
b1870	0.0236
b1871	0.0238
b1872	0.0234
b1873	0.0212
b1874	0.0211
b1875	0.0217
b1876	0.0249
b1877	0.0196
b1878	0.0184
b1879	0.0234
b1880	0.0235
b1881	0.0237
b1882	0.0242
b1883	0.0227
b1884	0.0220
b1885	0.0228
b1886	0.0230
b1887	0.0236
b1888	0.0233
b1889	0.0223
b1890	0.0231
b1891	0.0221
b1892	0.0217
b1893	0.0209
b1894	0.0183
b1895	0.0197
b1896	0.0222
b1897	0.0217
b4460	0.0230
b1900	0.0230
b1901	0.0248
b1902	0.0237
b4537	0.0225
b4663	0.0218
b1904	0.0190
b1905	0.0243
b1906	0.0224
b1907	0.0226
b1908	0.0226
b1912	0.0216
b1913	0.0230
b1914	0.0213
b1915	0.0244
b1916	0.0218
b1917	0.0236
b1918	0.0238
b1919	0.0244
b1920	0.0260
b1921	0.0205
b1922	0.0228
b1923	0.0223
b1924	0.0224
b1925	0.0224
b1926	0.0235
b1927	0.0228
b1928	0.0238
b1929	0.0244
b1930	0.0229
b1931	0.0219
b1932	0.0201
b1937	0.0234
b1938	0.0232
b1939	0.0261
b1940	0.0231
b1941	0.0240
b1942	0.0252
b1943	0.0216
b1944	0.0226
b1945	0.0245
b1946	0.0246
b1947	0.0222
b1948	0.0231
b1949	0.0234
b1950	0.0240
b1951	0.0199
b1952	0.0221
b1953	0.0241
b1955	0.0220
b1956	0.0213
b1957	0.0194
b1958	0.0244
b1959	0.0230
b1960	0.0215
b1961	0.0233
b1962	0.0232
b1963	0.0193
b1967	0.0221
b1968	0.0190
b1969	0.0195
b1970	0.0179
b1971	0.0225
b1972	0.0210
b1973	0.0201
b1974	0.0199
b1976	0.0205
b1978	0.0205
b1981	0.0208
b1982	0.0209
b1983	0.0214
b1985	0.0198
b1987	0.0207
b1988	0.0199
b1990	0.0198
b1991	0.0209
b1992	0.0227
b1993	0.0208
b1994	0.0220
b1996	0.0194
b1997	0.0204
b2000	0.0221
b2001	0.0219
b2002	0.0240
b2003	0.0227
b2004	0.0215
b2005	0.0221
b2007	0.0251
b2008	0.0226
b2009	0.0209
b2010	0.0213
b2011	0.0229
b2012	0.0238
b2013	0.0208
b2014	0.0243
b4678	0.0175
b2015	0.0227
b2016	0.0220
b4539	0.0204
b2017	0.0215
b2018	0.0149
b2019	0.0258
b2020	0.0233
b2021	0.0238
b2022	0.0243
b2023	0.0236
b2024	0.0251
b2025	0.0237
b2026	0.0243
b2027	0.0221
b2028	0.0218
b2029	0.0242
b2030	0.0221
b2032	0.0200
b2033	0.0183
b2034	0.0184
b2035	0.0172
b2036	0.0194
b2037	0.0181
b2038	0.0190
b2039	0.0215
b2040	0.0208
b2041	0.0206
b2042	0.0227
b2043	0.0210
b2044	0.0235
b2045	0.0233
b2046	0.0245
b2047	0.0237
b2048	0.0246
b2049	0.0240
b2050	0.0248
b2051	0.0216
b2052	0.0234
b2053	0.0242
b2054	0.0194
b2055	0.0222
b2056	0.0220
b2057	0.0236
b2058	0.0230
b2059	0.0228
b2060	0.0247
b2061	0.0224
b2062	0.0224
b2063	0.0238
b2064	0.0222
b2065	0.0244
b2066	0.0223
b2067	0.0228
b2068	0.0227
b2069	0.0254
b2070	0.0215
b2071	0.0213
b2072	0.0222
b2073	0.0225
b4667	0.0189
b4668	0.0156
b2074	0.0235
b2075	0.0241
b2076	0.0240
b2077	0.0232
b2078	0.0236
b2079	0.0235
b2080	0.0214
b2081	0.0236
b2082	0.0175
b2085	0.0193
b2086	0.0223
b2088	0.0227
b2089	0.0206
b2091	0.0217
b2093	0.0220
b2094	0.0201
b2095	0.0226
b2096	0.0222
b2097	0.0221
b2098	0.0232
b2099	0.0232
b2100	0.0226
b2101	0.0218
b2102	0.0202
b2103	0.0219
b2104	0.0205
b2105	0.0245
b2106	0.0212
b2107	0.0210
b2108	0.0185
b2109	0.0203
b2110	0.0214
b2111	0.0214
b2112	0.0181
b2113	0.0232
b2114	0.0243
b2118	0.0216
b4541	0.0189
b2119	0.0228
b2120	0.0222
b2121	0.0223
b2123	0.0239
b2124	0.0252
b2125	0.0240
b2126	0.0219
b2127	0.0224
b4542	0.0230
b2128	0.0237
b2129	0.0237
b2130	0.0243
b2131	0.0226
b2132	0.0240
b2133	0.0236
b2134	0.0239
b2135	0.0229
b2136	0.0235
b2137	0.0227
b4679	0.0208
b2140	0.0227
b2141	0.0228
b2142	0.0225
b2143	0.0231
b2144	0.0216
b2145	0.0208
b2146	0.0216
b2147	0.0224
b2148	0.0227
b2149	0.0222
b2150	0.0250
b2151	0.0227
b2152	0.0223
b2153	0.0238
b2154	0.0221
b2155	0.0226
b2156	0.0243
b2157	0.0228
b2158	0.0240
b2159	0.0229
b2160	0.0228
b2161	0.0225
b2162	0.0226
b2163	0.0205
b2164	0.0235
b2165	0.0239
b2166	0.0212
b2167	0.0256
b2168	0.0237
b2169	0.0246
b2170	0.0228
b4502	0.0209
b2171	0.0252
b2172	0.0224
b2173	0.0222
b2174	0.0214
b2175	0.0205
b2176	0.0223
b2177	0.0220
b2178	0.0240
b2179	0.0215
b2180	0.0217
b2181	0.0201
b2182	0.0228
b2183	0.0230
b2184	0.0230
b2185	0.0240
b2186	0.0240
b2187	0.0221
b2188	0.0221
b2192	0.0221
b2193	0.0246
b2194	0.0239
b2195	0.0245
b2196	0.0241
b2197	0.0244
b2198	0.0228
b2199	0.0245
b2200	0.0234
b2201	0.0212
b2202	0.0220
b2203	0.0221
b2204	0.0220
b2205	0.0223
b2206	0.0243
b2207	0.0228
b2208	0.0190
b2209	0.0230
b2210	0.0232
b2211	0.0242
b2212	0.0222
b2213	0.0217
b2214	0.0240
b2215	0.0233
b2216	0.0228
b2217	0.0241
b2218	0.0220
b2219	0.0219
b2220	0.0223
b2221	0.0221
b2222	0.0224
b2223	0.0217
b2224	0.0227
b2225	0.0215
b2226	0.0209
b2229	0.0216
b2230	0.0223
b2231	0.0249
b2232	0.0239
b2233	0.0213
b2234	0.0244
b2235	0.0243
b2236	0.0230
b2237	0.0221
b2239	0.0232
b2240	0.0233
b2241	0.0238
b2242	0.0224
b2243	0.0228
b2244	0.0216
b2245	0.0226
b2246	0.0232
b2247	0.0226
b2248	0.0210
b2249	0.0225
b2250	0.0222
b2251	0.0226
b2252	0.0214
b2253	0.0216
b2254	0.0225
b2255	0.0232
b2256	0.0224
b2257	0.0217
b4544	0.0220
b2258	0.0222
b2259	0.0206
b2260	0.0219
b2261	0.0238
b2262	0.0247
b2263	0.0216
b2264	0.0230
b2265	0.0221
b2266	0.0234
b2267	0.0221
b2268	0.0227
b2269	0.0194
b2270	0.0213
b2271	0.0199
b2272	0.0221
b2273	0.0195
b2274	0.0193
b2275	0.0201
b2276	0.0243
b2277	0.0244
b2278	0.0251
b2279	0.0243
b2280	0.0250
b2281	0.0232
b2282	0.0243
b2283	0.0238
b2284	0.0248
b2285	0.0233
b2286	0.0240
b2287	0.0223
b2288	0.0230
b2289	0.0218
b2290	0.0229
b2291	0.0236
b2292	0.0230
b2293	0.0228
b2294	0.0215
b2295	0.0204
b2296	0.0248
b2297	0.0248
b2298	0.0228
b2299	0.0228
b2300	0.0228
b2301	0.0224
b2302	0.0209
b2303	0.0228
b2304	0.0228
b2305	0.0212
b2306	0.0232
b2307	0.0228
b2308	0.0224
b2309	0.0239
b2310	0.0223
b2311	0.0225
b2312	0.0238
b2313	0.0216
b2314	0.0234
b2315	0.0235
b2316	0.0242
b2317	0.0226
b2318	0.0216
b2319	0.0247
b2320	0.0236
b2321	0.0222
b2322	0.0222
b2323	0.0238
b2324	0.0216
b2325	0.0244
b2326	0.0219
b2327	0.0223
b2328	0.0219
b2329	0.0234
b2330	0.0245
b2331	0.0224
b2332	0.0181
b2333	0.0216
b2334	0.0196
b2335	0.0194
b2336	0.0220
b2339	0.0238
b2340	0.0228
b2341	0.0223
b2342	0.0228
b2343	0.0237
b2344	0.0220
b2345	0.0196
b2346	0.0224
b2347	0.0231
b2349	0.0202
b2350	0.0180
b2351	0.0199
b2352	0.0172
b2354	0.0218
b2357	0.0199
b2359	0.0231
b2360	0.0239
b2361	0.0211
b2362	0.0218
b2363	0.0219
b4501	0.0201
b2364	0.0207
b2365	0.0219
b2366	0.0227
b2367	0.0187
b2368	0.0204
b2369	0.0210
b2370	0.0197
b2371	0.0196
b2372	0.0207
b2373	0.0216
b2374	0.0219
b2375	0.0231
b2376	0.0182
b2377	0.0198
b2378	0.0216
b4680	0.0230
b2379	0.0238
b2380	0.0231
b2381	0.0241
b2382	0.0226
b2383	0.0243
b2384	0.0233
b2385	0.0225
b2386	0.0231
b2387	0.0260
b2388	0.0226
b2389	0.0208
b2390	0.0216
b2392	0.0234
b2393	0.0248
b2394	0.0196
b2395	0.0215
b2398	0.0225
b2399	0.0219
b2400	0.0242
b2405	0.0205
b2406	0.0222
b2407	0.0224
b2408	0.0214
b2409	0.0222
b2410	0.0229
b4546	0.0245
b2411	0.0244
b2412	0.0220
b2413	0.0214
b2414	0.0241
b2415	0.0252
b2416	0.0245
b2417	0.0249
b2418	0.0223
b2419	0.0211
b2420	0.0216
b2421	0.0239
b2422	0.0249
b2423	0.0251
b2424	0.0248
b2425	0.0251
b2426	0.0239
b2427	0.0229
b2428	0.0239
b2429	0.0239
b2430	0.0228
b2431	0.0244
b2432	0.0226
b2433	0.0228
b2434	0.0218
b2435	0.0227
b2436	0.0223
b2437	0.0230
b2438	0.0222
b2439	0.0234
b2440	0.0246
b2441	0.0235
b2442	0.0194
b2443	0.0194
b2444	0.0223
b2445	0.0213
b2446	0.0202
b2447	0.0206
b2448	0.0205
b2449	0.0210
b2450	0.0223
b2451	0.0233
b2452	0.0245
b2453	0.0238
b2454	0.0232
b2455	0.0245
b2456	0.0223
b2457	0.0251
b2458	0.0233
b2459	0.0241
b2460	0.0245
b2461	0.0211
b2462	0.0235
b2463	0.0249
b2464	0.0230
b2465	0.0234
b2466	0.0217
b2467	0.0238
b2468	0.0222
b2469	0.0227
b2470	0.0233
b4606	0.0245
b2471	0.0224
b2472	0.0227
b4547	0.0218
b2473	0.0238
b2474	0.0208
b2475	0.0219
b2476	0.0259
b2477	0.0232
b2478	0.0228
b2479	0.0213
b2480	0.0238
b2481	0.0207
b2482	0.0226
b2483	0.0235
b2484	0.0228
b2485	0.0242
b2486	0.0229
b2487	0.0231
b2488	0.0220
b2489	0.0197
b2490	0.0229
b2491	0.0215
b2492	0.0217
b2493	0.0240
b2494	0.0236
b2495	0.0249
b2496	0.0226
b2497	0.0234
b2498	0.0253
b2499	0.0239
b2500	0.0233
b2501	0.0234
b2502	0.0231
b2503	0.0222
b2504	0.0192
b2505	0.0213
b2506	0.0234
b2507	0.0244
b2508	0.0248
b2509	0.0218
b2510	0.0202
b2511	0.0240
b2512	0.0234
b2513	0.0241
b2514	0.0234
b2515	0.0242
b2516	0.0218
b2517	0.0241
b2518	0.0250
b2519	0.0219
b2520	0.0235
b2521	0.0230
b2522	0.0235
b2523	0.0246
b2524	0.0236
b2525	0.0222
b2526	0.0253
b2527	0.0242
b2528	0.0241
b2529	0.0238
b2530	0.0243
b2531	0.0231
b2532	0.0247
b2533	0.0245
b2534	0.0213
b2535	0.0214
b2536	0.0222
b2537	0.0225
b4706	0.0210
b2538	0.0220
b2539	0.0219
b2540	0.0212
b2541	0.0237
b2542	0.0229
b2543	0.0218
b2544	0.0211
b2545	0.0239
b2546	0.0240
b2547	0.0236
b2548	0.0228
b2549	0.0235
b2550	0.0222
b2551	0.0247
b2552	0.0238
b2553	0.0250
b2554	0.0241
b2555	0.0222
b2556	0.0223
b2557	0.0244
b2558	0.0230
b2559	0.0230
b2560	0.0219
b2561	0.0236
b2562	0.0210
b4687	0.0230
b2563	0.0226
b2564	0.0254
b2565	0.0223
b2566	0.0241
b2567	0.0227
b2568	0.0234
b2569	0.0243
b2570	0.0201
b2571	0.0206
b2572	0.0216
b2573	0.0219
b2574	0.0218
b2575	0.0220
b2576	0.0242
b2577	0.0206
b2578	0.0215
b2579	0.0255
b2580	0.0211
b2581	0.0237
b2582	0.0215
b2583	0.0207
b2584	0.0225
b2585	0.0227
b2586	0.0187
b2587	0.0200
b2592	0.0249
b2593	0.0205
b2594	0.0232
b2595	0.0235
b2597	0.0235
b2598	0.0176
b2599	0.0224
b2600	0.0232
b2601	0.0233
b2602	0.0200
b2603	0.0195
b2604	0.0221
b2605	0.0199
b2606	0.0219
b2607	0.0221
b2608	0.0221
b2609	0.0226
b2610	0.0245
b2611	0.0231
b4461	0.0236
b2614	0.0260
b2615	0.0220
b2616	0.0236
b2617	0.0208
b2618	0.0226
b2619	0.0204
b2620	0.0227
b2622	0.0196
b2623	0.0193
b2624	0.0178
b2625	0.0198
b2626	0.0177
b2627	0.0199
b2628	0.0195
b2629	0.0190
b2630	0.0193
b2631	0.0211
b2632	0.0211
b2633	0.0214
b2634	0.0215
b2635	0.0230
b2636	0.0229
b2637	0.0191
b2642	0.0184
b2643	0.0211
b2644	0.0226
b4548	0.0187
b2645	0.0214
b2646	0.0216
b2647	0.0201
b2659	0.0232
b2660	0.0223
b2661	0.0254
b2662	0.0243
b2663	0.0216
b2664	0.0236
b2665	0.0234
b2666	0.0229
b2667	0.0214
b2668	0.0211
b2669	0.0240
b2670	0.0212
b2671	0.0203
b2672	0.0217
b2673	0.0222
b2674	0.0213
b2675	0.0226
b2676	0.0224
b2677	0.0227
b2678	0.0233
b2679	0.0237
b2682	0.0214
b2683	0.0226
b2684	0.0222
b2685	0.0236
b2686	0.0228
b2687	0.0241
b2688	0.0238
b2689	0.0189
b2690	0.0222
b2696	0.0212
b2697	0.0240
b2698	0.0235
b2699	0.0256
b2700	0.0227
b2701	0.0225
b2702	0.0230
b2703	0.0227
b2704	0.0215
b2705	0.0233
b2706	0.0210
b2707	0.0227
b2708	0.0253
b2709	0.0235
b2710	0.0229
b2711	0.0236
b2712	0.0226
b2713	0.0225
b2714	0.0224
b2715	0.0246
b2716	0.0233
b2717	0.0244
b2718	0.0240
b2719	0.0239
b2720	0.0220
b2721	0.0248
b2722	0.0256
b2723	0.0252
b2724	0.0216
b2725	0.0226
b2726	0.0216
b2727	0.0242
b2728	0.0229
b2729	0.0229
b2730	0.0245
b2731	0.0237
b2732	0.0226
b2733	0.0247
b2734	0.0203
b2735	0.0216
b2736	0.0226
b2737	0.0222
b2738	0.0225
b2739	0.0215
b2740	0.0217
b2741	0.0243
b2742	0.0204
b2743	0.0222
b2744	0.0218
b2745	0.0233
b2746	0.0232
b2747	0.0218
b2748	0.0226
b2749	0.0223
b2750	0.0223
b2751	0.0244
b2752	0.0241
b2753	0.0208
b2754	0.0192
b2755	0.0197
b2756	0.0191
b2757	0.0174
b2758	0.0212
b2759	0.0194
b2760	0.0189
b2761	0.0194
b2762	0.0249
b2763	0.0244
b2764	0.0238
b2765	0.0223
b2766	0.0225
b2767	0.0191
b2768	0.0234
b2769	0.0228
b2770	0.0230
b2771	0.0221
b4463	0.0229
b2774	0.0219
b2775	0.0223
b2776	0.0224
b2777	0.0221
b4682	0.0223
b2778	0.0185
b2779	0.0250
b2780	0.0237
b2781	0.0239
b2782	0.0200
b2783	0.0218
b2784	0.0230
b2785	0.0220
b2786	0.0233
b2787	0.0243
b2788	0.0230
b2789	0.0224
b2790	0.0240
b2791	0.0227
b2792	0.0238
b2793	0.0217
b2794	0.0222
b2795	0.0230
b2796	0.0247
b2797	0.0241
b2798	0.0216
b2799	0.0231
b2800	0.0222
b2801	0.0204
b2802	0.0228
b2803	0.0218
b2804	0.0220
b2805	0.0223
b2806	0.0233
b2807	0.0229
b2808	0.0211
b2809	0.0226
b2810	0.0238
b2811	0.0221
b2812	0.0239
b2813	0.0231
b2817	0.0227
b2818	0.0227
b2819	0.0225
b2820	0.0231
b2821	0.0225
b2822	0.0231
b2823	0.0196
b2824	0.0218
b2825	0.0226
b2826	0.0192
b2827	0.0235
b2828	0.0229
b2829	0.0235
b2830	0.0200
b2831	0.0222
b2832	0.0239
b2833	0.0229
b2834	0.0228
b2835	0.0233
b2836	0.0229
b2837	0.0226
b2838	0.0232
b2839	0.0210
b2840	0.0231
b2841	0.0232
b2842	0.0228
b2843	0.0214
b2844	0.0217
b2845	0.0205
b2846	0.0183
b2847	0.0185
b2848	0.0184
b4683	0.0210
b2849	0.0176
b2851	0.0196
b2852	0.0184
b2853	0.0181
b2860	0.0194
b2861	0.0204
b2865	0.0204
b2866	0.0216
b2867	0.0221
b2868	0.0208
b2869	0.0210
b2870	0.0238
b2871	0.0232
b2872	0.0238
b2873	0.0219
b2874	0.0241
b2875	0.0223
b2876	0.0197
b2877	0.0199
b2878	0.0226
b2879	0.0225
b2880	0.0242
b2881	0.0228
b2882	0.0211
b2883	0.0225
b4464	0.0229
b2886	0.0198
b2887	0.0214
b2888	0.0209
b4684	0.0188
b2889	0.0210
b2890	0.0251
b2891	0.0152
b2892	0.0236
b2893	0.0226
b2894	0.0230
b2895	0.0235
b2896	0.0203
b2897	0.0240
b2898	0.0244
b2899	0.0226
b2900	0.0230
b2901	0.0231
b2902	0.0207
b2903	0.0248
b2904	0.0258
b2905	0.0244
b2906	0.0235
b2907	0.0225
b2908	0.0240
b2909	0.0229
b2910	0.0222
b2912	0.0205
b4665	0.0183
b2913	0.0250
b2914	0.0239
b2916	0.0228
b2917	0.0234
b2918	0.0233
b2919	0.0232
b2920	0.0228
b2921	0.0218
b2922	0.0234
b2923	0.0219
b2924	0.0234
b2925	0.0238
b2926	0.0249
b2927	0.0211
b2928	0.0216
b2929	0.0227
b2930	0.0242
b4465	0.0234
b2933	0.0231
b2934	0.0206
b2935	0.0247
b2936	0.0226
b2937	0.0244
b2938	0.0236
b2939	0.0200
b2940	0.0180
b2942	0.0239
b2943	0.0241
b2944	0.0219
b2945	0.0220
b2946	0.0230
b2947	0.0249
b2948	0.0233
b2949	0.0219
b2950	0.0224
b2951	0.0226
b2952	0.0252
b2953	0.0230
b2954	0.0245
b2955	0.0233
b2956	0.0227
b2957	0.0232
b2958	0.0249
b2959	0.0251
b2960	0.0237
b2961	0.0215
b2962	0.0238
b2963	0.0225
b2964	0.0234
b2965	0.0225
b2966	0.0225
b2968	0.0218
b2971	0.0198
b2972	0.0207
b4466	0.0227
b2975	0.0228
b2976	0.0242
b2977	0.0240
b4467	0.0235
b4468	0.0223
b2979	0.0231
b2980	0.0228
b2982	0.0221
b2983	0.0217
b2984	0.0227
b2985	0.0212
b2986	0.0215
b2987	0.0226
b2988	0.0237
b2989	0.0231
b2990	0.0243
b2991	0.0208
b2992	0.0223
b2993	0.0243
b2994	0.0237
b2995	0.0242
b2996	0.0226
b2997	0.0220
b2998	0.0212
b3001	0.0229
b3002	0.0239
b3003	0.0232
b3005	0.0236
b3006	0.0234
b3008	0.0227
b3009	0.0233
b3010	0.0225
b3011	0.0248
b3012	0.0232
b3013	0.0222
b3014	0.0205
b4469	0.0230
b3017	0.0218
b3018	0.0214
b3019	0.0247
b3020	0.0217
b3021	0.0197
b3022	0.0191
b3023	0.0217
b3024	0.0221
b3025	0.0249
b3026	0.0223
b3027	0.0173
b3028	0.0237
b3029	0.0231
b3030	0.0239
b3031	0.0227
b3032	0.0232
b3033	0.0203
b3034	0.0222
b3035	0.0230
b3037	0.0220
b3038	0.0236
b3039	0.0217
b3040	0.0220
b3041	0.0237
b3042	0.0222
b3043	0.0219
b3044	0.0204
b3045	0.0194
b3047	0.0194
b3048	0.0190
b3049	0.0212
b3050	0.0199
b3051	0.0235
b4664	0.0180
b4666	0.0193
b3052	0.0247
b3053	0.0239
b3054	0.0245
b3055	0.0237
b3056	0.0230
b3057	0.0236
b3058	0.0234
b3059	0.0204
b3060	0.0219
b3061	0.0222
b3062	0.0243
b3063	0.0227
b3064	0.0240
b3065	0.0233
b3066	0.0218
b3067	0.0259
b3068	0.0219
b3070	0.0227
b3071	0.0237
b3072	0.0235
b3073	0.0231
b3074	0.0244
b3075	0.0231
b3076	0.0228
b3077	0.0217
b3078	0.0227
b3079	0.0214
b3080	0.0235
b3081	0.0228
b3082	0.0236
b3083	0.0208
b3084	0.0234
b3085	0.0220
b3086	0.0216
b3087	0.0235
b3088	0.0241
b3089	0.0245
b3090	0.0211
b3091	0.0239
b3092	0.0256
b3093	0.0244
b3094	0.0238
b3095	0.0232
b3096	0.0201
b3097	0.0240
b3098	0.0239
b3099	0.0236
b3100	0.0222
b3101	0.0262
b3102	0.0225
b3103	0.0235
b3104	0.0203
b3105	0.0237
b3106	0.0216
b3107	0.0240
b4470	0.0234
b3110	0.0230
b4471	0.0225
b3113	0.0229
b3114	0.0242
b3115	0.0219
b3116	0.0238
b3117	0.0229
b3118	0.0202
b3119	0.0175
b3120	0.0190
b3121	0.0195
b3124	0.0234
b3125	0.0252
b3126	0.0231
b3127	0.0233
b3128	0.0230
b3129	0.0210
b3130	0.0199
b3131	0.0226
b3132	0.0243
b3133	0.0235
b3136	0.0230
b3137	0.0234
b3138	0.0228
b3139	0.0229
b3140	0.0236
b3141	0.0219
b3142	0.0212
b3143	0.0205
b3144	0.0202
b3145	0.0188
b3146	0.0250
b3147	0.0235
b3148	0.0210
b3149	0.0219
b3150	0.0239
b3151	0.0230
b3152	0.0224
b3153	0.0246
b3154	0.0228
b3155	0.0229
b3156	0.0254
b3157	0.0250
b3158	0.0228
b3159	0.0236
b3160	0.0228
b3161	0.0240
b3162	0.0259
b4685	0.0201
b3163	0.0208
b3164	0.0252
b3165	0.0236
b3166	0.0244
b3167	0.0254
b3168	0.0249
b3169	0.0257
b3170	0.0233
b3172	0.0244
b3173	0.0191
b3175	0.0233
b3176	0.0243
b3177	0.0224
b3178	0.0242
b3179	0.0218
b3180	0.0241
b3181	0.0256
b3182	0.0218
b3183	0.0251
b3184	0.0212
b3185	0.0234
b3186	0.0231
b3187	0.0237
b3188	0.0200
b3189	0.0246
b3190	0.0235
b3191	0.0230
b3192	0.0250
b3193	0.0243
b3194	0.0230
b3195	0.0221
b3196	0.0216
b3197	0.0226
b3198	0.0242
b3199	0.0208
b3200	0.0233
b3201	0.0233
b3202	0.0230
b3203	0.0236
b3204	0.0241
b3205	0.0228
b3206	0.0243
b3207	0.0215
b3208	0.0211
b3209	0.0245
b3210	0.0245
b3211	0.0231
b3212	0.0241
b3213	0.0245
b3214	0.0202
b3215	0.0191
b3216	0.0198
b3218	0.0221
b3219	0.0191
b3220	0.0207
b3221	0.0215
b3222	0.0228
b3223	0.0239
b3224	0.0233
b3225	0.0236
b3226	0.0235
b3227	0.0223
b3228	0.0229
b3229	0.0243
b3230	0.0240
b3231	0.0233
b3232	0.0223
b3233	0.0249
b3234	0.0233
b3235	0.0232
b3236	0.0255
b3237	0.0232
b3238	0.0215
b3239	0.0225
b3240	0.0226
b3241	0.0223
b3242	0.0197
b3243	0.0227
b3244	0.0240
b4472	0.0230
b3247	0.0236
b3248	0.0228
b3249	0.0220
b3250	0.0232
b3251	0.0242
b3252	0.0216
b3253	0.0235
b3255	0.0236
b3256	0.0241
b3257	0.0237
b3258	0.0234
b3259	0.0251
b3260	0.0210
b3261	0.0242
b3262	0.0224
b3263	0.0226
b3264	0.0215
b3265	0.0220
b3266	0.0224
b3267	0.0208
b3269	0.0209
b3270	0.0222
b3271	0.0212
b3279	0.0211
b3280	0.0222
b3281	0.0212
b3282	0.0204
b3283	0.0197
b3284	0.0239
b4473	0.0192
b3287	0.0248
b3288	0.0225
b3289	0.0214
b3290	0.0228
b3291	0.0239
b4550	0.0179
b3292	0.0206
b3293	0.0216
b3294	0.0232
b3295	0.0237
b3296	0.0231
b3297	0.0210
b3298	0.0226
b3299	0.0198
b3300	0.0224
b3301	0.0244
b3302	0.0225
b3303	0.0241
b3304	0.0228
b3305	0.0234
b3306	0.0251
b3307	0.0223
b3308	0.0234
